4,3,8,2,7,6,5,0,lose
7,8,3,0,5,4,lose
7,3,2,6,5,8,4,0,lose
0,2,4,1,6,8,7,5,lose
3,0,4,5,6,2,7,1,lose
5,4,0,6,1,7,8,2,lose
7,0,8,3,5,6,lose
6,4,7,8,1,5,3,2,lose
8,3,7,6,5,0,lose
1,6,2,8,5,0,3,7,lose
1,0,8,3,5,6,lose
4,2,7,1,0,8,3,5,lose
3,5,7,8,6,4,1,2,lose
8,2,0,6,1,7,5,4,lose
6,0,3,2,8,7,4,1,lose
7,0,3,8,4,5,6,2,lose
6,0,1,7,3,8,5,4,lose
2,5,8,4,7,3,lose
1,0,5,3,8,2,4,6,lose
0,8,3,7,5,4,2,6,lose
2,5,7,4,0,6,8,3,lose
8,2,4,7,6,0,5,1,lose
7,3,2,5,8,4,lose
4,3,5,0,8,1,7,6,lose
7,1,5,4,8,0,3,2,lose
4,2,5,3,7,0,8,1,lose
1,3,8,7,6,5,2,4,lose
4,6,0,8,5,7,lose
1,8,2,0,7,4,lose
0,7,1,4,5,8,3,6,lose
8,6,1,5,7,4,2,3,lose
5,6,8,0,1,7,4,3,lose
1,3,7,8,0,2,6,5,lose
1,2,7,6,8,0,5,3,lose
7,4,0,6,5,8,3,2,lose
8,7,6,5,0,3,2,4,lose
5,6,0,8,3,4,7,2,lose
7,5,2,3,8,4,lose
0,7,5,6,4,8,lose
5,4,8,2,0,1,7,6,lose
5,6,3,7,8,4,0,1,lose
1,5,0,2,7,6,8,4,lose
2,1,8,5,7,3,0,4,lose
7,0,6,8,5,4,lose
0,4,2,1,8,5,6,3,lose
5,3,8,4,7,0,1,6,lose
8,6,3,2,7,5,1,4,lose
6,7,5,2,3,4,8,1,lose
1,2,0,3,7,4,8,6,lose
8,5,2,4,3,1,0,7,lose
3,2,7,0,8,1,lose
6,0,3,2,5,8,7,1,lose
0,6,8,4,1,3,7,5,lose
2,5,4,6,7,0,8,3,lose
2,8,7,6,1,3,5,0,lose
7,8,6,5,0,2,lose
1,8,5,7,2,6,lose
5,4,1,6,0,2,lose
6,7,2,0,3,1,8,4,lose
1,2,3,5,7,8,lose
5,7,3,8,0,4,2,6,lose
1,0,4,3,2,7,8,6,lose
3,1,5,2,0,6,7,4,lose
0,3,5,7,8,1,6,4,lose
3,8,1,6,2,0,5,7,lose
8,1,7,6,5,4,3,2,lose
3,8,5,2,0,6,7,4,lose
1,2,3,8,0,6,5,4,lose
1,5,8,3,0,6,7,4,lose
1,3,6,4,5,0,7,8,lose
3,6,0,4,5,2,lose
2,5,6,7,0,4,8,3,lose
8,3,7,5,4,0,2,6,lose
5,1,6,8,0,7,2,4,lose
6,2,1,5,0,8,lose
2,4,6,0,8,7,3,1,lose
7,0,4,2,3,5,8,1,lose
4,0,3,5,1,2,6,8,lose
8,2,5,4,7,6,lose
8,7,3,4,0,1,lose
8,4,0,6,7,5,2,3,lose
3,1,8,4,5,7,lose
2,3,8,0,7,6,lose
0,8,4,1,2,6,5,7,lose
2,4,8,5,7,6,0,3,lose
3,6,1,7,4,2,0,8,lose
5,4,8,7,6,1,lose
8,6,7,4,1,5,3,2,lose
7,3,8,6,1,5,2,4,lose
8,0,6,2,4,3,5,1,lose
1,2,7,3,0,5,6,8,lose
3,8,4,7,0,2,1,5,lose
3,7,5,8,0,6,lose
5,4,7,8,1,0,lose
8,0,4,6,5,2,7,3,lose
3,8,2,1,5,4,7,0,lose
4,1,0,8,3,5,7,2,lose
5,0,6,3,4,2,8,1,lose
5,7,2,0,3,4,1,8,lose
3,5,6,0,1,8,4,2,lose
5,4,3,6,8,7,1,2,lose
5,6,0,4,7,2,lose
2,3,4,0,5,6,lose
6,7,0,3,8,4,1,5,lose
1,6,0,8,3,7,lose
6,3,8,5,1,4,lose
6,8,3,5,1,7,4,2,lose
4,2,0,7,5,8,1,6,lose
8,7,0,6,5,2,1,4,lose
1,8,3,4,7,2,5,6,lose
3,1,6,7,5,8,2,4,lose
4,1,3,2,6,8,7,0,lose
1,2,6,0,5,4,3,8,lose
4,2,0,6,3,8,7,5,lose
5,6,1,8,0,3,4,7,lose
5,0,8,1,7,2,lose
3,2,6,1,8,7,4,0,lose
0,8,7,6,5,4,3,2,lose
2,3,8,6,0,5,7,4,lose
6,0,3,8,7,5,4,2,lose
4,3,5,6,2,0,lose
8,4,1,3,7,5,lose
8,7,6,5,1,3,2,4,lose
8,6,1,2,7,5,3,4,lose
6,7,8,4,2,1,lose
2,3,1,7,8,0,4,6,lose
0,8,5,3,2,7,4,6,lose
8,4,5,1,0,7,lose
6,7,5,1,0,8,2,4,lose
8,7,3,2,6,4,5,1,lose
7,4,5,2,8,6,lose
3,2,8,6,0,4,lose
5,0,6,2,8,1,lose
7,4,8,6,0,3,1,2,lose
3,2,6,8,7,4,1,5,lose
7,0,2,3,8,6,lose
7,8,4,2,6,1,3,0,lose
5,2,8,7,0,6,1,4,lose
0,6,1,8,3,7,lose
8,4,2,1,3,7,lose
5,1,6,4,8,7,lose
3,6,0,8,1,2,7,4,lose
5,6,2,3,4,7,0,8,lose
2,8,5,4,6,7,3,1,lose
7,8,6,0,1,5,3,4,lose
4,2,6,8,7,5,lose
